epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6226,1.07138,0.56477,1.00405,0.93011,0.95056,0.96005,0.65218,1.03408,0.61027,0.90726,0.08607,7e-05,7e-05
2,58.4013,1.01579,0.61363,0.97927,0.94687,0.92857,0.95914,0.63478,1.07122,0.66675,0.92175,0.0711426,0.000142608,0.000142608
3,69.5285,0.99639,0.57567,0.98302,0.9868,0.89027,0.93404,0.62386,1.1079,0.7373,0.92706,0.0562127,0.00021274,0.00021274
4,79.3385,0.91574,0.55268,0.95086,0.97321,0.86495,0.92919,0.64214,1.07547,0.76288,0.91601,0.0412804,0.000280398,0.000280398
5,87.927,0.97346,0.5205,0.94325,0.99598,0.89286,0.94323,0.65555,1.15396,0.70746,0.91508,0.0263456,0.00034558,0.00034558
6,96.3922,0.96557,0.49766,0.95284,0.97466,0.91599,0.94682,0.6252,1.31053,0.66608,0.93557,0.0114083,0.000408287,0.000408287
7,104.118,0.86253,0.50767,0.92377,0.9981,0.90476,0.96449,0.66983,1.12085,0.61951,0.8999,0.0004505,0.0004505,0.0004505
8,112.778,0.88316,0.49385,0.92912,1,0.90024,0.95888,0.63702,1.21709,0.65476,0.92376,0.00044225,0.00044225,0.00044225
9,120.424,0.86954,0.48587,0.9256,0.99014,0.88095,0.94979,0.67026,1.04152,0.60862,0.90045,0.000434,0.000434,0.000434
10,128.85,0.87861,0.49716,0.92633,0.98682,0.89102,0.942,0.61639,1.28185,0.6995,0.94362,0.00042575,0.00042575,0.00042575
11,138.508,0.90581,0.4848,0.9334,0.97447,0.91667,0.94777,0.65573,1.12134,0.63367,0.91099,0.0004175,0.0004175,0.0004175
12,146.244,0.8485,0.47618,0.90661,1,0.90222,0.95652,0.63172,1.15474,0.62348,0.91603,0.00040925,0.00040925,0.00040925
13,154.875,0.85435,0.48489,0.91961,0.9872,0.91817,0.96515,0.64458,1.19344,0.61906,0.91425,0.000401,0.000401,0.000401
14,162.859,0.89081,0.46857,0.93047,1,0.91479,0.96485,0.66002,1.16324,0.59805,0.9118,0.00039275,0.00039275,0.00039275
15,171.117,0.80598,0.45774,0.88969,0.99426,0.89286,0.96008,0.66912,1.1899,0.67425,0.92197,0.0003845,0.0003845,0.0003845
16,179.701,0.81808,0.44928,0.89555,0.99746,0.90476,0.96179,0.63113,1.31884,0.72294,0.95011,0.00037625,0.00037625,0.00037625
17,187.304,0.84435,0.47516,0.9243,0.99668,0.90476,0.96454,0.65652,1.23828,0.64473,0.92808,0.000368,0.000368,0.000368
18,195.642,0.83267,0.45898,0.89419,0.97504,0.92999,0.96831,0.7009,1.11417,0.59417,0.89754,0.00035975,0.00035975,0.00035975
19,204.136,0.78748,0.44294,0.8846,0.9911,0.90476,0.96646,0.63712,1.24749,0.62721,0.93595,0.0003515,0.0003515,0.0003515
20,211.818,0.81849,0.451,0.89889,0.98826,0.90476,0.96685,0.70914,0.97977,0.5415,0.8911,0.00034325,0.00034325,0.00034325
21,220.21,0.79499,0.43311,0.88834,0.96293,0.92762,0.96541,0.64528,1.2426,0.60274,0.93205,0.000335,0.000335,0.000335
22,228.261,0.76134,0.4201,0.88259,0.94204,0.92857,0.96729,0.63422,1.31097,0.66151,0.94123,0.00032675,0.00032675,0.00032675
23,236.527,0.80287,0.44216,0.8896,0.94169,0.92857,0.96676,0.63692,1.26363,0.65705,0.93865,0.0003185,0.0003185,0.0003185
24,245.147,0.80119,0.42701,0.88814,0.9491,0.89286,0.96346,0.58208,1.33927,0.66634,0.96842,0.00031025,0.00031025,0.00031025
25,252.842,0.77941,0.4268,0.89926,0.99096,0.89286,0.96749,0.67313,1.09713,0.56311,0.90199,0.000302,0.000302,0.000302
26,261.141,0.78607,0.42683,0.89157,1,0.88831,0.96807,0.65795,1.23996,0.60943,0.92663,0.00029375,0.00029375,0.00029375
27,269.681,0.78299,0.42788,0.89827,0.99904,0.89286,0.96744,0.6894,1.13832,0.56763,0.91114,0.0002855,0.0002855,0.0002855
28,277.422,0.76902,0.40718,0.89625,0.98701,0.90449,0.96855,0.69438,1.10372,0.54124,0.90493,0.00027725,0.00027725,0.00027725
29,285.664,0.7786,0.40325,0.88056,0.98695,0.90034,0.96718,0.68978,1.09625,0.55687,0.8987,0.000269,0.000269,0.000269
30,293.822,0.75814,0.40299,0.89309,0.97068,0.89286,0.95999,0.65829,1.25647,0.59206,0.92989,0.00026075,0.00026075,0.00026075
